gu,dong,elderly,poverty,full_name
종로구,사직동,1963,133,종로구 사직동
종로구,삼청동,641,49,종로구 삼청동
종로구,부암동,2033,177,종로구 부암동
종로구,평창동,4019,145,종로구 평창동
종로구,무악동,1587,186,종로구 무악동
종로구,교남동,1783,218,종로구 교남동
종로구,가회동,906,73,종로구 가회동
종로구,종로1.2.3.4가동,1891,801,종로구 종로1.2.3.4가동
종로구,종로5.6가동,1135,306,종로구 종로5.6가동
종로구,이화동,1468,294,종로구 이화동
종로구,창신1동,1369,504,종로구 창신1동
종로구,창신2동,2046,489,종로구 창신2동
종로구,창신3동,1450,242,종로구 창신3동
종로구,숭인1동,1390,322,종로구 숭인1동
종로구,숭인2동,1891,477,종로구 숭인2동
종로구,청운효자동,2277,209,종로구 청운효자동
종로구,혜화동,2809,361,종로구 혜화동
중구,소공동,339,48,중구 소공동
중구,회현동,1433,481,중구 회현동
중구,명동,802,90,중구 명동
중구,필동,962,102,중구 필동
중구,장충동,965,144,중구 장충동
중구,광희동,1287,218,중구 광희동
중구,을지로동,524,127,중구 을지로동
중구,신당5동,2096,496,중구 신당5동
중구,황학동,2380,537,중구 황학동
중구,중림동,2324,604,중구 중림동
중구,신당동,1760,410,중구 신당동
중구,다산동,3175,494,중구 다산동
중구,약수동,4356,886,중구 약수동
중구,청구동,2690,726,중구 청구동
중구,동화동,2349,200,중구 동화동
용산구,후암동,3335,902,용산구 후암동
용산구,용산2가동,2187,604,용산구 용산2가동
용산구,남영동,1694,1288,용산구 남영동
용산구,원효로2동,2612,434,용산구 원효로2동
용산구,효창동,1703,137,용산구 효창동
용산구,용문동,2420,408,용산구 용문동
용산구,이촌1동,4726,70,용산구 이촌1동
용산구,이촌2동,1931,168,용산구 이촌2동
용산구,이태원1동,1504,241,용산구 이태원1동
용산구,이태원2동,1903,274,용산구 이태원2동
용산구,서빙고동,2397,333,용산구 서빙고동
용산구,보광동,1740,1123,용산구 보광동
용산구,청파동,3590,1114,용산구 청파동
용산구,원효로1동,2261,379,용산구 원효로1동
용산구,한강로동,3563,427,용산구 한강로동
용산구,한남동,2776,596,용산구 한남동
성동구,왕십리2동,2981,550,성동구 왕십리2동
성동구,마장동,4508,830,성동구 마장동
성동구,사근동,1618,254,성동구 사근동
성동구,행당1동,2584,404,성동구 행당1동
성동구,행당2동,4413,856,성동구 행당2동
성동구,응봉동,2683,219,성동구 응봉동
성동구,금호1가동,3042,791,성동구 금호1가동
성동구,금호4가동,2847,433,성동구 금호4가동
성동구,성수1가1동,2710,518,성동구 성수1가1동
성동구,성수1가2동,2395,280,성동구 성수1가2동
성동구,성수2가1동,3249,834,성동구 성수2가1동
성동구,성수2가3동,1995,256,성동구 성수2가3동
성동구,송정동,2054,703,성동구 송정동
성동구,용답동,2476,919,성동구 용답동
성동구,왕십리도선동,4407,912,성동구 왕십리도선동
성동구,금호2.3가동,4190,0,성동구 금호2.3가동
성동구,옥수동,4744,519,성동구 옥수동
광진구,화양동,2527,711,광진구 화양동
광진구,군자동,3573,877,광진구 군자동
광진구,중곡1동,2961,963,광진구 중곡1동
광진구,중곡2동,4004,903,광진구 중곡2동
광진구,중곡3동,3466,1189,광진구 중곡3동
광진구,중곡4동,6404,1508,광진구 중곡4동
광진구,능동,1863,379,광진구 능동
광진구,구의1동,3834,959,광진구 구의1동
광진구,구의2동,5197,1128,광진구 구의2동
광진구,구의3동,5002,542,광진구 구의3동
광진구,광장동,4522,262,광진구 광장동
광진구,자양1동,4187,1245,광진구 자양1동
광진구,자양2동,4904,865,광진구 자양2동
광진구,자양3동,5177,369,광진구 자양3동
광진구,자양4동,4619,0,광진구 자양4동
동대문구,회기동,1587,354,동대문구 회기동
동대문구,휘경1동,2571,392,동대문구 휘경1동
동대문구,휘경2동,4583,703,동대문구 휘경2동
동대문구,청량리동,6043,1712,동대문구 청량리동
동대문구,용신동,67,1651,동대문구 용신동
동대문구,제기동,5940,1547,동대문구 제기동
동대문구,전농1동,6663,1803,동대문구 전농1동
동대문구,전농2동,4235,805,동대문구 전농2동
동대문구,답십리2동,6495,1270,동대문구 답십리2동
동대문구,장안1동,7919,1551,동대문구 장안1동
동대문구,장안2동,6335,1342,동대문구 장안2동
동대문구,이문1동,3325,746,동대문구 이문1동
동대문구,이문2동,4339,995,동대문구 이문2동
동대문구,답십리1동,4721,854,동대문구 답십리1동
동대문구,용두동,4641,0,동대문구 용두동
동대문구,신설동,2565,0,동대문구 신설동
중랑구,면목2동,5592,1724,중랑구 면목2동
중랑구,면목4동,4394,1767,중랑구 면목4동
중랑구,면목5동,2802,805,중랑구 면목5동
중랑구,면목7동,5190,1131,중랑구 면목7동
중랑구,상봉1동,4810,1712,중랑구 상봉1동
중랑구,상봉2동,3615,1092,중랑구 상봉2동
중랑구,중화1동,4378,1084,중랑구 중화1동
중랑구,중화2동,6120,2507,중랑구 중화2동
중랑구,묵1동,7060,1249,중랑구 묵1동
중랑구,묵2동,4311,1080,중랑구 묵2동
중랑구,망우3동,4084,1890,중랑구 망우3동
중랑구,신내1동,8408,1932,중랑구 신내1동
중랑구,신내2동,4903,1416,중랑구 신내2동
중랑구,면목본동,7268,2469,중랑구 면목본동
중랑구,면목3.8동,6002,0,중랑구 면목3.8동
중랑구,망우본동,8260,2304,중랑구 망우본동
성북구,돈암1동,3361,595,성북구 돈암1동
성북구,돈암2동,4164,374,성북구 돈암2동
성북구,안암동,2329,452,성북구 안암동
성북구,보문동,2909,468,성북구 보문동
성북구,정릉1동,3627,395,성북구 정릉1동
성북구,정릉2동,5213,734,성북구 정릉2동
성북구,정릉3동,3326,745,성북구 정릉3동
성북구,정릉4동,5639,841,성북구 정릉4동
성북구,길음1동,5319,560,성북구 길음1동
성북구,길음2동,3482,0,성북구 길음2동
성북구,월곡1동,5524,966,성북구 월곡1동
성북구,월곡2동,4139,745,성북구 월곡2동
성북구,장위1동,4813,1948,성북구 장위1동
성북구,장위2동,3749,1017,성북구 장위2동
성북구,장위3동,2978,578,성북구 장위3동
성북구,성북동,3357,412,성북구 성북동
