name,elderly,poverty,lat,lng
종로구,30658,4999,37.573,126.9794
중구,27442,5565,37.5641,126.9979
용산구,40342,8499,37.5326,126.9905
성동구,52896,10085,37.5633,127.0371
광진구,62240,12869,37.5385,127.0823
동대문구,72029,15729,37.5744,127.04
중랑구,87197,26073,37.6066,127.0927
성북구,86899,15781,37.5891,127.0182
강북구,73692,21013,37.6396,127.0257
도봉구,77440,14668,37.6688,127.0471
노원구,103864,31729,37.6542,127.0568
은평구,101602,23611,37.6027,126.9291
서대문구,62082,11253,37.5791,126.9368
마포구,61682,10383,37.5663,126.9016
양천구,83677,16833,37.5169,126.866
강서구,111714,29782,37.5509,126.8497
구로구,87340,12783,37.4954,126.8874
금천구,50102,12094,37.4565,126.8954
영등포구,72874,11067,37.5264,126.8962
동작구,75563,12775,37.5124,126.9393
관악구,92116,22142,37.4784,126.9516
서초구,71482,7086,37.4837,127.0324
강남구,94359,14805,37.5172,127.0473
송파구,118155,17004,37.5145,127.1066
강동구,96798,15804,37.5301,127.1238
