name,score,lat,lng
종로구,30658,37.573,126.9794
중구,27442,37.5641,126.9979
용산구,40342,37.5326,126.9905
성동구,52896,37.5633,127.0371
광진구,62240,37.5385,127.0823
동대문구,72029,37.5744,127.04
중랑구,87197,37.6066,127.0927
성북구,86899,37.5891,127.0182
강북구,73692,37.6396,127.0257
도봉구,77440,37.6688,127.0471
노원구,103864,37.6542,127.0568
은평구,101602,37.6027,126.9291
서대문구,62082,37.5791,126.9368
마포구,61682,37.5663,126.9016
양천구,83677,37.5169,126.866
강서구,111714,37.5509,126.8497
구로구,87340,37.4954,126.8874
금천구,50102,37.4565,126.8954
영등포구,72874,37.5264,126.8962
동작구,75563,37.5124,126.9393
관악구,92116,37.4784,126.9516
서초구,71482,37.4837,127.0324
강남구,94359,37.5172,127.0473
송파구,118155,37.5145,127.1066
강동구,96798,37.5301,127.1238
